system,category,n,acc_with,acc_no,delta_acc,mean_delta_tokens,memory_roi
recent_window,distractor,40,0.0,0.0,0.0,0.0,0.0
recent_window,knowledge_update,40,0.0,0.0,0.0,0.0,0.0
recent_window,multi_session,40,0.0,0.0,0.0,0.0,0.0
recent_window,profile,40,0.0,0.0,0.0,0.0,0.0
recent_window,single_session,40,0.0,0.0,0.0,0.0,0.0
naive_rag,distractor,40,0.7,0.0,0.7,73.22,9.5596
naive_rag,knowledge_update,40,0.75,0.0,0.75,58.3,12.8645
naive_rag,multi_session,40,0.75,0.0,0.75,72.8,10.3022
naive_rag,profile,40,0.7,0.0,0.7,73.12,9.5726
naive_rag,single_session,40,0.75,0.0,0.75,46.35,16.1812
ours,distractor,40,0.625,0.0,0.625,32.98,18.9538
ours,knowledge_update,40,0.7,0.0,0.7,27.85,25.1346
ours,multi_session,40,0.675,0.0,0.675,31.62,21.3439
ours,profile,40,0.65,0.0,0.65,35.15,18.4922
ours,single_session,40,0.725,0.0,0.725,26.23,27.6454
