system,category,n,accuracy,source
recent_window,ALL,30,0.0,longmemeval_s
recent_window,knowledge-update,5,0.0,longmemeval_s
recent_window,multi-session,5,0.0,longmemeval_s
recent_window,single-session-assistant,5,0.0,longmemeval_s
recent_window,single-session-preference,5,0.0,longmemeval_s
recent_window,single-session-user,5,0.0,longmemeval_s
recent_window,temporal-reasoning,5,0.0,longmemeval_s
naive_rag,ALL,30,0.1,longmemeval_s
naive_rag,knowledge-update,5,0.2,longmemeval_s
naive_rag,multi-session,5,0.0,longmemeval_s
naive_rag,single-session-assistant,5,0.0,longmemeval_s
naive_rag,single-session-preference,5,0.0,longmemeval_s
naive_rag,single-session-user,5,0.4,longmemeval_s
naive_rag,temporal-reasoning,5,0.0,longmemeval_s
ours,ALL,30,0.0333,longmemeval_s
ours,knowledge-update,5,0.0,longmemeval_s
ours,multi-session,5,0.2,longmemeval_s
ours,single-session-assistant,5,0.0,longmemeval_s
ours,single-session-preference,5,0.0,longmemeval_s
ours,single-session-user,5,0.0,longmemeval_s
ours,temporal-reasoning,5,0.0,longmemeval_s
